eventID,occurrenceID,measurementType,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementTypeID,measurementID
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-4,Abundance of cells per milliliter,31,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-4-FC-4.3-4-1
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-4,Particulate Organic Carbon per cell,18998.6,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-4-FC-4.3-4-2
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-4,Biomass as carbon per unit volume,NA,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-4-FC-4.3-4-3
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-4,Biomass as carbon per unit volume,0.6,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-4-FC-4.3-4-4
IYS2022-TINRO-3-4-FC-4.3,IYS2022-TINRO-3-4-FC-4.3-4,NA,OraNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200006/,NA,NA,NA,IYS2022-TINRO-3-4-FC-4.3-4-5
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-1,Abundance of cells per milliliter,17125,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-5-FC-4.7-1-1
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-1,Particulate Organic Carbon per cell,230.2,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-5-FC-4.7-1-2
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-1,Biomass as carbon per unit volume,3.9,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-5-FC-4.7-1-3
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-1,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-5-FC-4.7-1-4
IYS2022-TINRO-3-5-FC-4.7,IYS2022-TINRO-3-5-FC-4.7-1,NA,OraPicoProk,http://vocab.nerc.ac.uk/collection/F02/current/F0200003/,NA,NA,NA,IYS2022-TINRO-3-5-FC-4.7-1-5
